id,url,title,price,price_numeric,location,listing_area_m2,listing_zone,listing_type,cost_per_sqm,lat,lng,road_distance_m,road_type,slope_pct,slope_class,district,municipality,parcel_number,sheet,plan,block,parcel_area_m2,planning_zone,planning_zone_desc,substation_el,substation_en,substation_id,hosting_capacity_mw,res_total_mw,available_capacity_mw
4969032,https://www.bazaraki.com/adv/4969032_agricultural-land-12710-m2/?p=11,Agricultural Field 12710 m²,€27.000  €35.000,27000,"Nicosia, Kapedes",12710,,Agricultural,2.12,34.995459039194,33.271749011466,,,14.8,moderate,LEFKOSIA,KAPEDES,216,39,11,0,12804,Δ1,ΜΑΖΙΚΗ ΕΚΤΡΟΦΗ ΖΩΩΝ ΚΑΙ ΠΤΗΝΩΝ ΕΚΤΟΣ ΧΟΙΡΩΝ,ΕΡΓΑΤΕΣ,ERGATES,ERGA,56.099481,56.099481,0
6313803,https://www.bazaraki.com/adv/6313803_residential-plot-4097-m2/?p=17,Residential Plot 4097 m²,€55.000,55000,"Larnaca, Aradippou - Apostolos Loukas",4097,,Residential,13.42,34.917438,33.605027,46,residential,1.1,flat,LARNAKA,"LARNAKA, LARNAKA",1622,40,63E1,11,1859,Κα4,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΛΑΡΝΑΚΑ,LARNACA,LARN,73.78,46.067648,27.712352
6331336,https://www.bazaraki.com/adv/6331336_commercial-field-3897-m2/?p=10,Commercial Field 3897 m²,€1.600.000,1600000,"Limassol, Ypsonas",3897,,Commercial,410.57,34.69199735806483,32.9538210723004,5,residential,2.7,flat,LEMESOS,"KOURIO, YPSONAS",203,53,55,0,428,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΠΟΛΕΜΙΔΙΑ,POLEMIDHIA 132kV,POLE,47.82,25.654125,22.165875
6123392,https://www.bazaraki.com/adv/6123392_residential-plot-2676-m2/?p=10,Residential Plot 2676 m²,€70.000,70000,"Limassol, Agios Georgios Lemesou",2676,,Residential,26.16,34.81508752608963,32.89889929528906,7,residential,8.8,moderate,LEMESOS,AG GEORGIOS LEMESOU,182,47,5310V01,1,37,Η1,ΚΑΤΟΙΚΙΑ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
6220666,https://www.bazaraki.com/adv/6220666_residential-plot-750-m2/?p=35,Residential Plot 750 m²,€150.000,150000,"Paphos, Pegeia",750,,Residential,200.0,34.884644,32.377759,51,residential,22.9,steep,PAFOS,"AKAMAS, PEGEIA",999,45,09,0,1135,Η2,ΚΑΤΟΙΚΙΑ,ΔΡΟΜΟΣ ΑΚΟΥΡΣΟΥ,AKOURSOS ROAD,AKUR,38.07,24.96924,13.10076
5755820,https://www.bazaraki.com/adv/5755820_commercial-land-520-m2/?p=104,Commercial Plot 520 m²,€540.000,540000,"Nicosia, Strovolos - Chryseleousa",520,Εβ3,Commercial,1038.46,35.14822916386146,33.35879453830952,28,residential,6.6,moderate,LEFKOSIA,STROVOLOS,2070,21,62E1,9,1876,Κα4,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΕΠΑΡΧΙΑΚΟ ΓΡΑΦΕΙΟ,DISTRICT OFFICE 132kV,DOFF,84.78,4.73935,80.04065
4652952,https://www.bazaraki.com/adv/4652952_residential-land-8035-m2/?p=107,Residential Field 8035 m²,€215.000  €250.000,215000,"Famagusta, Sotira",8035,,Residential,26.76,35.03126643856,33.95563702546,52,residential,1.1,flat,AMMOCHOSTOS,"AGIA NAPA, SOTIRA",397,0,2-287-378,2,3994,Κα6,ΚΑΤΟΙΚΙΑ,ΣΩΤΗΡΑ,SOTIRA,SOTE,46.64,40.470905,6.169095
5560090,https://www.bazaraki.com/adv/5560090_tourist-land-87264-m2/?p=61,Tourist Plot 87264 m²,€12.200.000,12200000,"Larnaca, Perivolia Larnakas",87264,Τ2α,Tourist,139.81,34.81699439180578,33.54123516675634,298,secondary,1.8,flat,LARNAKA,SOFTADES,102,50,53,0,67456,Τ2α,ΤΟΥΡΙΣΤΙΚΗ ΖΩΝΗ,ΚΟΦΙΝΟΥ,KOPHINOU,KOPH,46.26509,46.26509,0
5869204,https://www.bazaraki.com/adv/5869204_residential-land-6752-m2/?p=60,Commercial Field 6752 m²,€6.500.000,6500000,"Limassol, Kato Polemidia",6752,,Commercial,962.68,34.68412805871373,33.01868243480132,13,residential,2.7,flat,LEMESOS,"LEMESOS, LEMESOS",1020,54,570204,1,260,Κα4,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΟΜΟΝΟΙΑ,OMONIA,OMON,48.85,9.892783,38.957217
5824535,https://www.bazaraki.com/adv/5824535_commercial-land-264-m2/?p=56,Commercial land 264 m²,€600.000,600000,"Larnaca, Larnaka - Sotiros",264,,Commercial,2272.73,34.91915597333068,33.62580299377442,20,residential,2.2,flat,LARNAKA,"LARNAKA, LARNAKA",,,,,,Εβ4,ΕΜΠΟΡΙΚΕΣ ΚΑΙ ΑΛΛΕΣ ΣΥΝΑΦΕΙΣ ΔΡΑΣΤ. ΕΚΤΟΣ ΑΣΤ. ΕΜΠ. ΚΕΝΤΡ.,ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ ΛΑΡΝΑΚΑΣ,COMMERCIAL CENTRE,COMM,71.14,5.88669,65.25331
2238653,https://www.bazaraki.com/adv/2238653_ilioupoli-dali/?p=3,Residential Plot 547 m²,€145.000,145000,"Nicosia, Kalithea",547,,Residential,265.08,35.06647588323394,33.40283707891007,36,residential,4.0,flat,LEFKOSIA,"NOTIA L/SIA - IDALION, IDALION",1227,30,40W2,12,569,Κα8,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΛΑΤΣΙΑ,LATSIA,LATS,73.836782,73.836782,0
5192561,https://www.bazaraki.com/adv/5192561_residential-land-21682-m2/?p=7,Residential land 21682 m²,€1.298.818,1298818,"Limassol, Moniatis",21682,,Residential,59.9,34.86158845200637,32.89477703185437,12,residential,10.8,moderate,LEMESOS,MONIATIS,607,47,28,0,9226,Η6α,ΚΑΤΟΙΚΙΑ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
6179971,https://www.bazaraki.com/adv/6179971_residential-plot-666-m2/?p=41,Residential Plot 666 m²,€600.000,600000,"Limassol, Germasogeia",666,Κα8,Residential,900.9,34.71699232953044,33.07749008637571,26,residential,13.9,moderate,LEMESOS,"AMATHOUNTA, GERMASOGEIA",953,0,2-207-343,5,887,Κα8,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
5915626,https://www.bazaraki.com/adv/5915626_residential-land-2732-m2/,Residential Field 2732 m²,€195.000  €230.000,195000,"Limassol, Pentakomo",2732,H7,Residential,71.38,34.71896562618207,33.26734423738012,66,residential,7.6,moderate,LEMESOS,PENTAKOMO,607,55,35,0,5171,Η7,ΚΑΤΟΙΚΙΑ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
5973919,https://www.bazaraki.com/adv/5973919_residential-land-498-m2/?p=27,Residential Plot 498 m²,€650.000  €715.000,650000,"Limassol, Limassol - Agios Nicolaos",498,,Residential,1305.22,34.68681085143077,33.05157107304341,15,secondary,1.8,flat,LEMESOS,"LEMESOS, LEMESOS",205,54,580302,1,2090,Εβ1,ΖΩΝΗ ΕΜΠΟΡΙΚΩΝ ΚΑΙ ΑΛΛΩΝ  ΚΕΝΤΡΙΚΩΝ ΛΕΙΤΟΥΡΓΕΙΩΝ,ΠΑΛΑΙΟ ΜΗΧΑΝΟΣΤΑΣΙΟ,OLD POWER STATION,OLPS,72.78,3.503066,69.276934
6077537,https://www.bazaraki.com/adv/6077537_residential-land-1450-m2/?p=34,Residential Plot 1450 m²,€100.000,100000,"Paphos, Polemi",1450,Η2,Residential,68.97,34.88480443292785,32.50785827636719,41,residential,2.2,flat,PAFOS,POLEMI,387,45,6123V01,1,516,Η2,ΚΑΤΟΙΚΙΑ,ΣΤΡΟΥΜΠΙ,STROUMBI,STRU,18.824508,18.824508,0
5464942,https://www.bazaraki.com/adv/5464942_agricultural-land-51171-m2/?p=96,Agricultural Plot 51171 m²,€75.000  €90.000,75000,"Limassol, Asgata",51171,,Agricultural,1.47,34.759133,33.252123,296,residential,12.6,moderate,LEMESOS,ASGATA,37,55,18,0,50398,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
2013212,https://www.bazaraki.com/adv/2013212_pyrgos-big-residential-land/?p=52,Residential Plot 5377 m²,€740.000,740000,"Limassol, Moni",5377,,Residential,137.62,34.74017878108674,33.19267715528566,35,residential,3.1,flat,LEMESOS,MONI,1324,54,32,0,5377,Η5,ΚΑΤΟΙΚΙΑ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
