id,url,title,price,price_numeric,location,listing_area_m2,listing_zone,listing_type,cost_per_sqm,lat,lng,road_distance_m,road_type,slope_pct,slope_class,district,municipality,parcel_number,sheet,plan,block,parcel_area_m2,planning_zone,planning_zone_desc,substation_el,substation_en,substation_id,hosting_capacity_mw,res_total_mw,available_capacity_mw
5608761,https://www.bazaraki.com/adv/5608761_residential-land-594-m2/?p=19,Residential Plot 594 m²,€130.000,130000,"Larnaca, Perivolia Larnakas",594,H2,Residential,218.86,34.82730438470763,33.56294232320718,191,tertiary,0.5,flat,LARNAKA,"DROMOLAXIA - MENEOU, KITI",110,0,2-251-355,2,5155,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,Ε.Β.ΖΩΝΗ,FREE INDUSTRIAL ZONE,FIZ,58.81713,58.81713,0
5866479,https://www.bazaraki.com/adv/5866479_residential-land-1270-m2/?p=69,Residential Plot 1270 m²,€350.000,350000,"Limassol, Panthea",1270,,Residential,275.59,34.7316709,33.0396611,157,residential,13.1,moderate,LEMESOS,"AMATHOUNTA, AG. ATHANASIOS",249,54,34,0,3122,Βδ5,ΒΙΟΤΕΧΝΙΚΗ ΖΩΝΗ ΚΑΤ. Β,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
4549861,https://www.bazaraki.com/adv/4549861_residential-land-594-m2/?p=32,Residential land 594 m²,€99.000,99000,"Nicosia, Dali - Panag Evangelistria",594,90%,Residential,166.67,35.023250985779576,33.41380844424234,35,residential,2.2,flat,LEFKOSIA,"NOTIA L/SIA - IDALION, IDALION",207,30,64E2,7,1633,Κα8,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΛΑΜΠΡΑ,ALAMBRA,ALAM,52.664205,52.664205,0
4889314,https://www.bazaraki.com/adv/4889314_residential-land-1262-m2/?p=105,Residential land 1262 m²,€2.280.000,2280000,"Limassol, Germasogeia",1262,,Residential,1806.66,34.69897806503496,33.05057425327404,22,residential,2.7,flat,LEMESOS,"LEMESOS, MESA GEITONIA",,,,,,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
5499624,https://www.bazaraki.com/adv/5499624_residential-land-521-m2/?p=105,Residential Plot 521 m²,€120.000,120000,"Famagusta, Deryneia",521,Κα6,Residential,230.33,35.06999351913319,33.95966275903294,26,residential,3.1,flat,AMMOCHOSTOS,"PARALIMNI - DERYNEIA, DERYNEIA",1627,33,37W2,0,561,Κα5,ΖΩΝΗ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΜΕΛΙΖΟΝΑ,MELIZONA,MELI,45.6,9.868421,35.731579
6022824,https://www.bazaraki.com/adv/6022824_agricultural-land-31439-m2/?p=23,Agricultural Field 31439 m²,€65.000  €70.000,65000,"Larnaca, Lefkara Pano",31439,Δα2,Agricultural,2.07,34.87982461892842,33.3019764252376,78,secondary,10.3,moderate,LARNAKA,"LEFKARA, PANO LEFKARA",1184,49,12,0,31446,Δα2,"ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ (Ελεύθεροι Χώροι πρασίνου, πάρκα κτλ)",ΚΟΦΙΝΟΥ,KOPHINOU,KOPH,46.26509,46.26509,0
5451852,https://www.bazaraki.com/adv/5451852_agricultural-land-3352-m2/?p=6,Agricultural Field 3352 m²,€65.000,65000,"Limassol, Kouka",3352,Γ3,Agricultural,19.39,34.85147785374523,32.87762473085834,206,tertiary,11.5,moderate,LEMESOS,PERA PEDI,336,47,28,0,12097,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
5592471,https://www.bazaraki.com/adv/5592471_residential-land-1167-m2/?p=62,,,,,1167,,Residential,,34.727462,33.127533,27,residential,22.5,steep,LEMESOS,AGIOS TYCHON,58,0,2-211-344,7,8780,Η5,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
6077285,https://www.bazaraki.com/adv/6077285_residential-land-521-m2/?p=4,Residential land 521 m²,€400.000,400000,"Limassol, Ekali",521,,Residential,767.75,34.70156070818216,33.01804302223688,11,residential,4.0,flat,LEMESOS,"LEMESOS, LEMESOS",,,,,,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
4269320,https://www.bazaraki.com/adv/4269320_agricultural-land-112526-m2/?p=92,Agricultural land 112526 m²,€630.000,630000,"Limassol, Germasogeia",112526,,Agricultural,5.6,34.70085710749035,33.05735494383848,23,residential,4.9,flat,LEMESOS,"LEMESOS, MESA GEITONIA",575,54,510101,8,1554,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
5843665,https://www.bazaraki.com/adv/5843665_residential-land-9622-m2/?p=48,Residential Field 9622 m²,€5.500.000,5500000,"Limassol, Germasogeia",9622,Κα7,Residential,571.61,34.71420857339824,33.08113639273499,48,residential,13.0,moderate,LEMESOS,"AMATHOUNTA, GERMASOGEIA",796,0,2-207-342,5,2364,Κα8,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΓΕΡΜΑΣΟΓΕΙΑ,YERMASOYIA,YERM,47.47,10.793824,36.676176
5951467,https://www.bazaraki.com/adv/5951467_agricultural-land-2520-m2/?p=33,Agricultural Field 2520 m²,€230.000,230000,"Paphos, Timi",2520,,Agricultural,91.27,34.72465358092013,32.50993640000084,495,primary,0.9,flat,PAFOS,"IEROKIPIA, TIMI",498,51,38,0,2520,Γα2,ΑΓΡΟΤΙΚΕΣ ΖΩΝΕΣ,ΞΕΡΟΠΟΤΑΜΟΣ,XEROPOTAMOS,XERP,17.14,17.11593,0.02407
5431030,https://www.bazaraki.com/adv/5431030_residential-land-763-m2/?p=46,Residential land 763 m²,€130.000,130000,"Limassol, Souni",763,H6,Residential,170.38,34.73373396053411,32.88706928567286,25,secondary,9.3,moderate,LEMESOS,SOUNI-ZANAKIA,,,,,,Η6,ΚΑΤΟΙΚΙΑ,ΕΠΙΣΚΟΠΗ,EPISKOPI,EPSK,18.35,13.845218,4.504782
6176598,https://www.bazaraki.com/adv/6176598_agricultural-field-2500-m2/?p=36,Agricultural Field 2500 m²,€35.000,35000,"Limassol, Koilani",2500,Γ3,Agricultural,14.0,34.84388438213998,32.86002671743692,29,residential,14.2,moderate,LEMESOS,KOILANI,504,47,5331V01,1,1649,Η1,ΚΑΤΟΙΚΙΑ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
6101845,https://www.bazaraki.com/adv/6101845_residential-land-1250-m2/?p=21,Residential Plot 1673 m²,€89.000  €95.000,89000,"Paphos, Lasa",1673,H2 100%,Residential,53.2,34.9251592974895,32.52711569999806,14,residential,10.3,moderate,PAFOS,LASA,103,35,6307V01,1,397,Η2,ΚΑΤΟΙΚΙΑ,ΣΤΡΟΥΜΠΙ,STROUMBI,STRU,18.824508,18.824508,0
5723837,https://www.bazaraki.com/adv/5723837_residential-land-2262-m2/?p=74,Residential land 2262 m²,€450.000,450000,"Limassol, Agios Tychon",2262,,Residential,198.94,34.725637997211614,33.140421625756396,11,tertiary,10.4,moderate,LEMESOS,AGIOS TYCHON,59,0,1-2125-3435,1,103,Η2,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
6234655,https://www.bazaraki.com/adv/6234655_residential-plot-1016-m2/?p=109,Residential Plot 1016 m²,€508.000,508000,"Limassol, Agios Tychon",1016,H5,Residential,500.0,34.72539395297223,33.13321401949537,10,residential,9.4,moderate,LEMESOS,AGIOS TYCHON,135,0,2-212-343,7,17745,Η5,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
4918629,https://www.bazaraki.com/adv/4918629_agricultural-land-5725-m2/?p=34,Agricultural Field 5725 m²,€63.000,63000,"Nicosia, Analiontas",5725,Γ3,Agricultural,11.0,35.00235936275761,33.30406220946217,395,residential,3.3,flat,LEFKOSIA,ANALIONTAS,204,39,12,0,5842,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΑΛΑΜΠΡΑ,ALAMBRA,ALAM,52.664205,52.664205,0
6334431,https://www.bazaraki.com/adv/6334431_residential-plot-600-m2/?p=4,Residential Plot 600 m²,€1.800.000,1800000,"Limassol, Germasogeia Tourist Area",600,,Residential,3000.0,34.69786494327444,33.09130781723428,17,residential,0.5,flat,LEMESOS,"AMATHOUNTA, GERMASOGEIA",,,,,,Τ1β1α,ΤΟΥΡΙΣΤΙΚΕΣ ΖΩΝΕΣ,ΓΕΡΜΑΣΟΓΕΙΑ,YERMASOYIA,YERM,47.47,10.793824,36.676176
4127202,https://www.bazaraki.com/adv/4127202_residential-land-5686-m2/?p=54,Residential land 5686 m²,€61.200  €75.000,61200,"Paphos, Kelokedara",5686,residential,Residential,10.76,34.808662,32.648468,182,tertiary,15.9,steep,PAFOS,KELOKEDARA,514,46,51,0,5794,Η2,ΚΑΤΟΙΚΙΑ,ΑΝΑΤΟΛΙΚΟ,ANATOLIKO 66KV,ANAT,23.193488,23.193488,0
5788613,https://www.bazaraki.com/adv/5788613_residential-land-1617-m2/?p=97,Residential Field 1617 m²,€45.000,45000,"Paphos, Armou",1617,,Residential,27.83,34.797135,32.4783,108,residential,22.5,steep,PAFOS,ARMOU,324,45,61,0,731,Η2,ΚΑΤΟΙΚΙΑ,ΝΕΑ ΠΑΦΟΣ,NEW PAPHOS,NPAF,86.01,26.161838,59.848162
5568175,https://www.bazaraki.com/adv/5568175_residential-land-4014-m2/?p=50,Residential land 4014 m²,€390.000,390000,"Paphos, Koili",4014,,Residential,97.16,34.966679,32.442928,47,tertiary,15.7,steep,PAFOS,"POLI CHRYSOCHOUS, KRITOU TERA",696,35,27,0,77761,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΠΟΛΙΣ,POLIS,POLI,22.572338,22.572338,0
6316857,https://www.bazaraki.com/adv/6316857_residential-plot-3040-m2/?p=16,Residential Plot 3040 m²,€500.000,500000,"Limassol, Souni",3040,H6,Residential,164.47,34.72873379148557,32.89117974457284,56,residential,1.8,flat,LEMESOS,SOUNI-ZANAKIA,456,0,2-190-344,2,11262,Ζ3,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΕΠΙΣΚΟΠΗ,EPISKOPI,EPSK,18.35,13.845218,4.504782
5419654,https://www.bazaraki.com/adv/5419654_agricultural-land-6021-m2/?p=13,Agricultural Field 6021 m²,€8.000,8000,"Limassol, Eptagoneia",6021,,Agricultural,1.33,34.858907,33.135006,,,15.3,steep,LEMESOS,EPTAGONEIA,324,48,30,0,6219,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
6093636,https://www.bazaraki.com/adv/6093636_agricultural-land-352-m2/?p=34,Agricultural land 352 m²,€25.000,25000,"Paphos, Amargeti",352,,Agricultural,71.02,34.82225904303469,32.58373260498046,25,tertiary,15.3,steep,PAFOS,AMARGETI,625,46,41,0,3076,Η2,ΚΑΤΟΙΚΙΑ,ΑΝΑΤΟΛΙΚΟ,ANATOLIKO 66KV,ANAT,23.193488,23.193488,0
4333150,https://www.bazaraki.com/adv/4333150_residential-land-2007-m2/?p=6,Residential Field 2007 m²,€260.000,260000,"Limassol, Foinikaria",2007,Η5,Residential,129.55,34.7499624235833,33.10349136904689,111,residential,15.7,steep,LEMESOS,"AMATHOUNTA, FOINIKARIA",961,54,20,0,2407,Η5,ΚΑΤΟΙΚΙΑ,ΓΕΡΜΑΣΟΓΕΙΑ,YERMASOYIA,YERM,47.47,10.793824,36.676176
4268206,https://www.bazaraki.com/adv/4268206_residential-land-15386-m2/?p=92,Residential land 15386 m²,€2.250.000,2250000,"Limassol, Fasoula Lemesou",15386,,Residential,146.24,34.76592494688789,33.027480914418696,2,residential,1.8,flat,LEMESOS,FASOULA LEMESOU,,,,,,Η1,ΚΑΤΟΙΚΙΑ,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
5744258,https://www.bazaraki.com/adv/5744258_commercial-land-971-m2/?p=89,Industrial Field 1571 m²,€473.000,473000,"Nicosia, Latsia - Agios Georgios",1571,Βα3,Industrial,301.08,35.09514071509706,33.38122794303639,27,residential,1.3,flat,LEFKOSIA,"LATSIA - GERI, LATSIA",,,,,,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΛΑΤΣΙΑ,LATSIA,LATS,73.836782,73.836782,0
4268125,https://www.bazaraki.com/adv/4268125_residential-land-2788-m2/?p=92,Residential land 2788 m²,€2.500.000,2500000,"Paphos, Pomos",2788,,Residential,896.7,35.15574468723945,32.54572051408561,44,residential,11.0,moderate,PAFOS,"POLI CHRYSOCHOUS, POMOS       ",645,17,55,0,2189,Η2,ΚΑΤΟΙΚΙΑ,ΠΟΛΙΣ,POLIS,POLI,22.572338,22.572338,0
6289463,https://www.bazaraki.com/adv/6289463_commercial-plot-772-m2/?p=43,Commercial Plot 772 m²,€660.000,660000,"Nicosia, Aglantzia",772,,Commercial,854.92,35.159615,33.388832,22,primary,4.5,flat,LEFKOSIA,"LEFKOSIA, AGLANTZIA",5684,21,55E2,2,603,Εβ3,ΖΩΝΗ ΕΜΠΟΡΙΚΩΝ ΚΑΙ ΑΛΛΩΝ ΚΕΝΤΡΙΚΩΝ ΛΕΙΤΟΥΡΓΕΙΩΝ,ΕΠΑΡΧΙΑΚΟ ΓΡΑΦΕΙΟ,DISTRICT OFFICE 132kV,DOFF,84.78,4.73935,80.04065
5885376,https://www.bazaraki.com/adv/5885376_residential-land-4565-m2/?p=26,Residential land 4565 m²,€2.100.000,2100000,"Limassol, Agios Tychon",4565,Κα10,Residential,460.02,34.70965868978898,33.11750334193474,20,residential,5.8,moderate,LEMESOS,AGIOS TYCHON,132,0,2-210-342,3,656,Κα10,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
2166262,https://www.bazaraki.com/adv/2166262_oikistiko-khoraphi-360-episkope/?p=109,Residential Plot 6355 m²,€1.500.000,1500000,"Limassol, Episkopi Lemesou",6355,H2B,Residential,236.03,34.67707436672165,32.88428245380363,211,residential,18.0,steep,LEMESOS,"KOURIO, EPISKOPI",508,53,60,0,16722,Η4,ΚΑΤΟΙΚΙΑ,ΕΠΙΣΚΟΠΗ,EPISKOPI,EPSK,18.35,13.845218,4.504782
6291869,https://www.bazaraki.com/adv/6291869_residential-plot-4274-m2/?p=35,Residential Plot 4274 m²,€500.000,500000,"Nicosia, Geri",4274,,Residential,116.99,35.11392146471854,33.42955395081344,100,residential,1.6,flat,LEFKOSIA,"LATSIA - GERI, GERI",448,31,09W2,3,5040,Κα7,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΘΑΛΑΣΣΑ,ATHALASSA 132kV,ATHA,45.955909,45.955909,0
6113571,https://www.bazaraki.com/adv/6113571_residential-plot-1100-m2/?p=68,Residential Plot 1100 m²,€1.200.000,1200000,"Larnaca, Larnaka - Agios Nikolaos",1100,Ka4,Residential,1090.91,34.91395828813722,33.62259939999893,32,residential,2.7,flat,LARNAKA,"LARNAKA, LARNAKA",,,,,,Κα4,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ ΛΑΡΝΑΚΑΣ,COMMERCIAL CENTRE,COMM,71.14,5.88669,65.25331
4969007,https://www.bazaraki.com/adv/4969007_agricultural-land-9098-m2/?p=11,Agricultural Field 9098 m²,€360.000  €445.000,360000,"Nicosia, Kokkinotrimithia",9098,,Agricultural,39.57,35.164571040376,33.203088817394,45,residential,0.4,flat,LEFKOSIA,KOKKINOTRIMITHIA,48,0,2-218-392,7,9098,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ,KOKKINOTRIMITHIA,KOKK,45.368034,45.368034,0
5194776,https://www.bazaraki.com/adv/5194776_residential-land-5873-m2/?p=12,Residential Field 5873 m²,€900.000,900000,"Limassol, Parekklisia",5873,H6,Residential,153.24,34.73826913411445,33.153666283362135,25,tertiary,7.1,moderate,LEMESOS,PAREKKLISIA,962,54,30,0,25196,Η5,ΚΑΤΟΙΚΙΑ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
5814234,https://www.bazaraki.com/adv/5814234_residential-land-3779-m2/?p=84,Residential land 3779 m²,€720.000,720000,"Limassol, Paramytha",3779,,Residential,190.53,34.75318182262057,32.994010423140615,15,residential,12.6,moderate,LEMESOS,PARAMYTHA,604,53,24,0,9944,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΥΨΩΝΑΣ,YPSONAS,YPSO,15.442737,15.442737,0
6327181,https://www.bazaraki.com/adv/6327181_residential-field-3703-m2/?p=7,Residential Field 3703 m²,€105.500,105500,"Larnaca, Kalavasos",3703,,Residential,28.49,34.774508538699,33.292722065111,49,tertiary,17.5,steep,LARNAKA,KALAVASOS,599,55,12,0,3335,Η2,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΜΑΡΙ,MARI,MARI,44.24,26.43143,17.80857
6071794,https://www.bazaraki.com/adv/6071794_agricultural-land-8529-m2/?p=14,Agricultural Field 8529 m²,€60.000,60000,"Paphos, Pelathousa",8529,,Agricultural,7.03,35.041373,32.47334,,,4.9,flat,PAFOS,"POLI CHRYSOCHOUS, PELATHOUSA",109,26,53,0,8216,Γα4,ΑΓΡΟΤΙΚΗ ΖΩΝΗ,ΠΟΛΙΣ,POLIS,POLI,22.572338,22.572338,0
5763502,https://www.bazaraki.com/adv/5763502_residential-land-561-m2/?p=57,Residential Plot 561 m²,€195.000,195000,"Nicosia, Egkomi - Makedonitissa",561,,Residential,347.59,35.1417182,33.3045523,6,residential,7.7,moderate,LEFKOSIA,"LAKATAMEIA, LAKATAMEIA",,,,,,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΙΕΡΑΤΙΚΗ ΣΧΟΛΗ,SEMINARY,SEMI,78.1,25.825962,52.274038
6109763,https://www.bazaraki.com/adv/6109763_residential-land-9681-m2/?p=36,Residential land 9681 m²,€870.000,870000,"Nicosia, Tseri",9681,,Residential,89.87,35.070454,33.352021,304,motorway,4.5,flat,LEFKOSIA,"LAKATAMEIA, TSERI",123,30,38W2,6,2258,Γα4,ΑΓΡΟΤΙΚΕΣ ΖΩΝΕΣ/ΠΕΡΙΑΣΤΙΚΕΣ ΠΕΡΙΟΧΕΣ,ΛΑΤΣΙΑ,LATSIA,LATS,73.836782,73.836782,0
5942952,https://www.bazaraki.com/adv/5942952_agricultural-land-56800-m2/?p=108,Agricultural Field 56800 m²,€38.000  €55.000,38000,"Larnaca, Skarinou",56800,,Agricultural,0.67,34.838736,33.377296,,,19.7,steep,LARNAKA,"LEFKARA, SKARINOU",59,49,39,0,57992,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΚΟΦΙΝΟΥ,KOPHINOU,KOPH,46.26509,46.26509,0
6072795,https://www.bazaraki.com/adv/6072795_residential-land-2676-m2/?p=15,Residential Field 2676 m²,€90.000  €105.000,90000,"Nicosia, Politiko",2676,,Residential,33.63,35.00743225326958,33.23493000000029,,,8.8,moderate,LEFKOSIA,POLITIKO,81,39,09,0,19382,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΕΡΓΑΤΕΣ,ERGATES,ERGA,56.099481,56.099481,0
6220665,https://www.bazaraki.com/adv/6220665_residential-plot-2696-m2/?p=35,Residential Plot 2696 m²,€250.000,250000,"Paphos, Pegeia",2696,,Residential,92.73,34.866004,32.383275,18,residential,8.2,moderate,PAFOS,"AKAMAS, PEGEIA",,,,,,Η7,ΚΑΤΟΙΚΙΑ,ΔΡΟΜΟΣ ΑΚΟΥΡΣΟΥ,AKOURSOS ROAD,AKUR,38.07,24.96924,13.10076
5823528,https://www.bazaraki.com/adv/5823528_residential-land-19367-m2/?p=59,Residential land 19367 m²,€2.500.000,2500000,"Limassol, Souni",19367,,Residential,129.09,34.730848831905085,32.89050269328107,70,residential,13.1,moderate,LEMESOS,SOUNI-ZANAKIA,417,0,2-190-344,2,8579,Ζ3,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΕΠΙΣΚΟΠΗ,EPISKOPI,EPSK,18.35,13.845218,4.504782
6217620,https://www.bazaraki.com/adv/6217620_residential-plot-6689-m2/?p=41,Residential Plot 6689 m²,€1.800.000,1800000,"Limassol, Parekklisia",6689,,Residential,269.1,34.745562,33.145795,50,residential,9.4,moderate,LEMESOS,PAREKKLISIA,607,54,30,0,7504,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΓΕΡΜΑΣΟΓΕΙΑ,YERMASOYIA,YERM,47.47,10.793824,36.676176
5939572,https://www.bazaraki.com/adv/5939572_residential-land-579-m2/?p=70,Residential land 579 m²,€250.000,250000,"Larnaca, Aradippou - Agios Fanourios",579,,Residential,431.78,34.93056385555057,33.59086799999963,33,residential,3.1,flat,LARNAKA,"ARADIPPOU, ARADIPPOU",474,40,55W1,7,1790,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΛΑΡΝΑΚΑ,LARNACA,LARN,73.78,46.067648,27.712352
6269040,https://www.bazaraki.com/adv/6269040_residential-plot-2262-m2/?p=64,Residential Plot 2262 m²,€500.000,500000,"Limassol, Agios Tychon",2262,,Residential,221.04,34.72416920229174,33.14232938233526,40,residential,7.1,moderate,LEMESOS,AGIOS TYCHON,299,0,2-213-343,6,4160,Η4α,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
5652030,https://www.bazaraki.com/adv/5652030_residential-land-22074-m2/?p=18,Residential Plot 22074 m²,€168.000,168000,"Larnaca, Vavla",22074,H2,Residential,7.61,34.83997507841899,33.26617942565309,101,tertiary,5.8,moderate,LARNAKA,"LEFKARA, VAVLA",790,49,35,0,19416,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΜΑΡΙ,MARI,MARI,44.24,26.43143,17.80857
5732930,https://www.bazaraki.com/adv/5732930_residential-land-1686-m2/?p=95,Residential Field 1686 m²,€29.000,29000,"Famagusta, Avgorou",1686,,Residential,17.2,35.0287619,33.8014005,70,tertiary,0.9,flat,AMMOCHOSTOS,"AGIA NAPA, ACHNA",172,0,2-273-377,12,23799,Ζ1,"ΖΩΝΕΣ ΠΡΟΣΤΑΣΙΑΣ (ΑΡΧΑΙΟΛ. ΧΩΡΟΙ, ΧΩΡΟΙ ΦΥΣΙΚΗΣ ΚΑΛΛΟΝΗΣ, ΔΑΣΗ, ΠΡΟΣΤΑΤΕΥΟΜ. ΤΟΠΙΑ, ΓΕΩΜΟΡΦΩΜΑΤΑ, ΑΝΑΔΑΣΜΟΣ, ΚΤΛ)",ΔΕΚΕΛΙΑ 132kV GIS,DHEKELIA GIS 132kV,DGIS,47.46,37.337332,10.122668
6095484,https://www.bazaraki.com/adv/6095484_residential-land-7800-m2/?p=69,Residential land 7800 m²,€1.000.000,1000000,"Limassol, Parekklisia",7800,H6,Residential,128.21,34.72688804743257,33.16142910150103,24,residential,5.4,moderate,LEMESOS,PAREKKLISIA,366,54,39,0,15527,Η6,ΚΑΤΟΙΚΙΑ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
5360115,https://www.bazaraki.com/adv/5360115_residential-land-432-m2/?p=15,Residential land 432 m²,€119.000,119000,"Nicosia, Lakatameia - Agia Paraskevi",432,80%,Residential,275.46,35.0958795801333,33.31346825833928,50,residential,3.3,flat,LEFKOSIA,"LAKATAMEIA, LAKATAMEIA",1154,30,20E2,6,12044,Κα7,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΛΑΚΑΤΑΜΙΑ,LAKATAMIA,LAKA,52.651225,52.651225,0
5420048,https://www.bazaraki.com/adv/5420048_tourist-land-32913-m2/?p=75,Tourist land 32913 m²,€4.450.000,4450000,"Larnaca, Perivolia Larnakas",32913,,Tourist,135.2,34.81634105607659,33.60101046471305,36,residential,3.6,flat,LARNAKA,"DROMOLAXIA - MENEOU, PERIVOLIA",474,0,2-254-354,6,32748,Τ2α,ΤΟΥΡΙΣΤΙΚΗ ΖΩΝΗ,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ,INTERNATIONAL AIRPORT (GIS),AIRP,85.6,40.789514,44.810486
6029793,https://www.bazaraki.com/adv/6029793_agricultural-land-8326-m2/?p=48,Agricultural Field 8326 m²,€435.000,435000,"Nicosia, Palaiometocho",8326,Γ3,Agricultural,52.25,35.13271079999999,33.22910310000003,,,1.8,flat,LEFKOSIA,PALAIOMETOCHO,138,0,2-220-389,20,8326,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ,KOKKINOTRIMITHIA,KOKK,45.368034,45.368034,0
5964541,https://www.bazaraki.com/adv/5964541_residential-land-12710-m2/?p=6,Residential Field 12519 m²,€1.750.000,1750000,"Limassol, Fasoula Lemesou",12519,Π1,Residential,139.79,34.7331021,33.02909669999997,196,residential,13.5,moderate,LEMESOS,FASOULA LEMESOU,86,54,26,0,4256,Π1,ΠΑΡΑΘΕΡΙΣΤΙΚΗ ΚΑΤΟΙΚΙΑ,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
